Neighborhood,Year,Population,0-9 years,10-19 years,20-34 years,35-54 years,55-64 years,65 years and over,less than High School,High School or GED,Some College or Associate's Degree,Bachelor's Degree or Higher,Foreign Born,White,Black/ African American,Hispanic,Asian/PI,Other,Male (Labor Force 16+),Female (Labor Force 16+),Occupied Housing Units,Owner-occupied,Renter-occupied
West End ,2017,6619,297,266,2504,,,,333,466,515,4369,647,4436,463,838,706,176,,,3558,789,2769
West Roxbury,2017,33526,4066,3148,6062,,,,1650,4887,5013,13726,5293,22584,4094,3376,2500,972,,,13933,8905,5028
Allston,2020,24904,,,,,,,,,,,,12536,1326,3259,6271,1512,,,10027,,
Back Bay,2020,18190,,,,,,,,,,,,13065,690,1208,2410,817,,,10006,,
Beacon Hill,2020,9336,,,,,,,,,,,,7521,252,537,630,396,,,5485,,
Brighton,2020,52047,,,,,,,,,,,,32694,2414,5376,8703,2860,,,22535,,
Charlestown,2020,19120,,,,,,,,,,,,13626,990,2075,1650,779,,,8932,,
Dorchester,2020,122191,,,,,,,,,,,,27411,42714,25285,13360,13421,,,44823,,
Downtown,2020,19979,,,,,,,,,,,,10574,823,1418,6498,666,,,8321,,
East Boston,2020,43066,,,,,,,,,,,,15760,1403,21700,1932,2271,,,16695,,
Fenway,2020,37493,,,,,,,,,,,,20350,2333,3565,9210,2035,,,13273,,
Hyde Park,2020,34172,,,,,,,,,,,,7632,15628,8319,736,1857,,,12471,,
Jamaica Plain,2020,40015,,,,,,,,,,,,21463,4511,8664,3042,2335,,,17400,,
Longwood,2020,5186,,,,,,,,,,,,3584,329,486,612,175,,,317,,
Mattapan,2020,23840,,,,,,,,,,,,1489,16277,4083,491,1500,,,8822,,
Mission Hill,2020,17518,,,,,,,,,,,,6635,2427,3341,4315,800,,,6668,,
North End,2020,10805,,,,,,,,,,,,9306,141,528,445,385,,,6314,,
Roslindale,2020,29586,,,,,,,,,,,,14014,5784,7255,987,1546,,,11682,,
Roxbury,2020,54533,,,,,,,,,,,,7137,22624,16633,3222,4917,,,20025,,
South Boston,2020,37917,,,,,,,,,,,,29139,1529,3887,2077,1285,,,17961,,
South Boston Waterfront,2020,5579,,,,,,,,,,,,4315,160,316,482,306,,,3624,,
South End,2020,30904,,,,,,,,,,,,17362,3259,3998,4875,1410,,,16152,,
West End,2020,7705,,,,,,,,,,,,4933,338,613,1440,381,,,4572,,
West Roxbury,2020,31561,,,,,,,,,,,,20918,3312,3567,2451,1313,,,13390,,
